"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0x761112a9feab5ecbbe830f5c8bc01a6c5fd2be49a89e93ff0a6bca8a26f99835","Success","ERC-20","0x20aeb817","11669675","2021-01-17 1:14:38","0xa665D83457cB91C3b254b35a5D61143F66473Be7"," ","0xf4b00c937b4ec4bb5ac051c3c719036c668a31ec"," Secret Network: Bridge","1,624.227126","$2.71","BAC(BAC)","0.00316123"
"0x554b53089a5ff48a242c7159a13fc8ed2a32e8f5860c358b2b1159a10e747c9e","Success","ERC-20","Confirm Transaction","11669674","2021-01-17 1:14:35","0xf4b00c937b4ec4bb5ac051c3c719036c668a31ec","Secret Network: Bridge","0x9d06d59677b412c48F5f8546b45b9Ea694A99698"," ","87.282458","$0.1455","BAC(BAC)","0.0104043"
"0x554b53089a5ff48a242c7159a13fc8ed2a32e8f5860c358b2b1159a10e747c9e","Success","ERC-20","Confirm Transaction","11669674","2021-01-17 1:14:35","0xf4b00c937b4ec4bb5ac051c3c719036c668a31ec","Secret Network: Bridge","0x15EDEBFD8A9329C645Ef9d1e0105fD1B6c6f2ba1"," ","2,778.178038","$4.63","BAC(BAC)","0.0104043"
"0xdb5357299e6ee3db7571517e1c5647bfdf901470d68a23d752c25af167b7e2a5","Success","ERC-20","Swap Exact ETH For Tokens","11669664","2021-01-17 1:13:11","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xa665D83457cB91C3b254b35a5D61143F66473Be7"," ","1,623.361413","$2.71","BAC(BAC)","0.00942375"
"0x787d864414241dce7e05a7e67b4f78fe5c8a7dfb10cba90e41fd851b6a4e1ce3","Success","ERC-20","Swap Exact Tokens For Tokens","11669617","2021-01-17 1:02:38","0x4a0AC0860F11AEd23e4472ae6B1F4cEF8d33042F"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","200","$0.3334","BAC(BAC)","0.02229655"
"0x33b27edcfc4a33bb62310efd84e47adf86c5fa21b53b84fb05c1c8406c88edc9","Success","ERC-20","Add Liquidity","11669576","2021-01-17 0:51:14","0x7D411873898aB53EE8260273eE9232213524ad62"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","202,990.671454","$338.35","BAC(BAC)","0.0113856"
"0x9de2a1058ebc266e99705a1a91ae698b9dd53e4caf8de9a0f483c15495dc282b","Success","ERC-20","Swap Exact Tokens For Tokens","11669566","2021-01-17 0:47:47","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x7D411873898aB53EE8260273eE9232213524ad62"," ","202,856.594436","$338.12","BAC(BAC)","0.0155415"
"0xd21180d824e593434ce2a16e02f0625fc16166f2cee5d0a832db45946b10bdb3","Success","ERC-20","Zap In","11669561","2021-01-17 0:47:02","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0"," Zapper: Uniswap V2 Zap In v3.0.1","394.12028","$0.6569","BAC(BAC)","0.02864215"
"0xd21180d824e593434ce2a16e02f0625fc16166f2cee5d0a832db45946b10bdb3","Success","ERC-20","Zap In","11669561","2021-01-17 0:47:02","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","197.355776","$0.329","BAC(BAC)","0.02864215"
"0xd21180d824e593434ce2a16e02f0625fc16166f2cee5d0a832db45946b10bdb3","Success","ERC-20","Zap In","11669561","2021-01-17 0:47:02","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","196.764503","$0.328","BAC(BAC)","0.02864215"
"0xd21180d824e593434ce2a16e02f0625fc16166f2cee5d0a832db45946b10bdb3","Success","ERC-20","Zap In","11669561","2021-01-17 0:47:02","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xB8650A5c6E4feaC1a96822181D1CDC01D9826F20"," ","0","$0.00","BAC(BAC)","0.02864215"
