"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0x672f5e67e75eaa79ca96810ae20a063198428cb532886a7a1032cdb4ffb91e7a","Success","ERC-20","Claim Reward","11622504","2021-01-09 19:38:28","0x4b182469337d46e6603ed7e26ba60c56930a342c","Basis Cash: Boardroom","0x77171b9a373C417c1843BF9f6577E9A42E473C85"," ","389.770534","$0.6499","BAC(BAC)","0.0041545"
"0xcbf0719e6db2119a9d5a587c4841afca5a095b9483d78435a97dd9575b0098d9","Success","ERC-20","Add Liquidity","11622473","2021-01-09 19:28:22","0x4ccAAfF0467DE66E1341B9c245e0185A8787669D"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","5,621.257254","$9.37","BAC(BAC)","0.00920486"
"0xa6c9e272f824dbd163d51668fbc1e807b7deac9c32e8682327a1e0063250aff2","Success","ERC-20","Add Liquidity","11622463","2021-01-09 19:25:42","0xDeB91Ac4cD36F61293cfc961D150d7E2F7BE3E55"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","34,921.337422","$58.23","BAC(BAC)","0.00978016"
"0x400bfc0a4070c04fe5d66eb6d0ca0937b609a445d2381de52f739dfbc55c0282","Success","ERC-20","Swap Exact Tokens For Tokens","11622463","2021-01-09 19:25:42","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x4ccAAfF0467DE66E1341B9c245e0185A8787669D"," ","5,679.420331","$9.47","BAC(BAC)","0.00592875"
"0x5f5e1b976e0a77d34ed5048450b6c6fc7d2e4bd810f27411483410b5ce3a8f7e","Success","ERC-20","Swap Exact Tokens For Tokens","11622452","2021-01-09 19:24:11","0xDeB91Ac4cD36F61293cfc961D150d7E2F7BE3E55"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","35,000","$58.36","BAC(BAC)","0.01057509"
"0xa10a643da43a8e09a7a3834825f5c4b371c3b0b0ec537a54c28938fc0c517da5","Success","ERC-20","Add Liquidity","11622415","2021-01-09 19:14:48","0xf830Ec2d507EB0B1E62Ff2Ec7E2bd51ab022eA4f"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","1,985.180711","$3.31","BAC(BAC)","0.00776617"
"0x7224185fbc4d3cf576478e7c15e075bb9574de34ade86f154f5f2be31313960a","Success","ERC-20","Swap ETH For Exact Tokens","11622414","2021-01-09 19:14:36","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x6bD53EE06cc4D599dd5f069A9B59DE2B51563C9F"," ","50","$0.0834","BAC(BAC)","0.00903765"
"0xfa9ad0aafc7478c0d64cef34fe06de43834a0e5f6336ce345a20bd3f386052e0","Success","ERC-20","Swap Exact Tokens For Tokens","11622412","2021-01-09 19:14:15","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xf830Ec2d507EB0B1E62Ff2Ec7E2bd51ab022eA4f"," ","1,985.184999","$3.31","BAC(BAC)","0.00640364"
"0x2b85342ec6ee746cff2f955db1b9af084349022f8ab52004c57d88d2816f115b","Success","ERC-20","Swap ETH For Exact Tokens","11622412","2021-01-09 19:14:15","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x6bD53EE06cc4D599dd5f069A9B59DE2B51563C9F"," ","50","$0.0834","BAC(BAC)","0.00984765"
"0xf578a22ea1a7456ebc45b256686ac78554aad7d98d94ee48af862fea7ae7bfd0","Success","ERC-20","Swap Exact Tokens For Tokens","11622412","2021-01-09 19:14:15","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xC214802a166992DF1D3bf60dac6ef1E92Bda6Db2"," ","513.843729","$0.8568","BAC(BAC)","0.00494607"
