"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0x72e61084355e5f5daf882233266f1a357da5f18c87263efe67ff1946b8845867","Success","ERC-20","Remove Liquidity","11651032","2021-01-14 4:12:26","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x5d0248113b6290234bd122349caCaE87090Cd419"," ","87,493.355864","$145.83","BAC(BAC)","0.00900759"
"0x49470c8b31527ae92f2576b96dd45e6145dd397462f8b82d45042616eeb02609","Success","ERC-20","Swap Exact Tokens For Tokens","11651030","2021-01-14 4:11:37","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x10e797d89CD91184D058d0d2972806681Af90638"," ","23,047.612014","$38.42","BAC(BAC)","0.0255017"
"0x90190855143a89acd08722e0756e3058eb76fedd03ec87ae017db19586737db8","Success","ERC-20","Swap Exact Tokens For ETH","11651028","2021-01-14 4:11:27","0xe8dc2788FC8d91B44582F60D9d6B64e207Dab384"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","6,516.052822","$10.86","BAC(BAC)","0.02125111"
"0xc3c0f468fbf742bc14e373badf18193ffa99c892bf9c289e78ce2985b1a7a3e3","Success","ERC-20","Stake","11651028","2021-01-14 4:11:27","0x02589DECFCa5D815a08E376c6eDCd8cb8002Ce30"," ","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","102.457","$0.1708","BAC(BAC)","0.01195005"
"0x21d056ca3173588f125add80d61843b52e4a1847a0b8eb211a900a660f5cfb04","Success","ERC-20","Swap Exact Tokens For Tokens","11651024","2021-01-14 4:11:00","0xF5f05A91735e6fc046F9CB5bC1fdd51Ba8882ADb"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","17,500","$29.17","BAC(BAC)","0.0130212"
"0xdbcbc749adc93b75ab969902f08a5d459c36d9ab085457ac02aa33457ab1f902","Success","ERC-20","Stake","11651024","2021-01-14 4:11:00","0x5f723856ac7e6f6292473730449e79f483909867","degenyieldfarmer.eth","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","7,307.276032","$12.18","BAC(BAC)","0.01035189"
"0x6a65131c8c501a7cf2d64dcbe99bd637664a38a88f6a4231c1e969980369bd55","Success","ERC-20","Stake","11651023","2021-01-14 4:10:37","0x537037C5ae805b9D4CeCAB5Ee07F12a8e59A15B2"," ","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","195,480.392","$325.83","BAC(BAC)","0.0145847"
"0xbf4b200eaf0386dcaa521a88d41cfb8e30286b43543e0aabb2a5120855a3f095","Success","ERC-20","Stake","11651023","2021-01-14 4:10:37","0xC31dB2E710192791b65dE43D4B84886A6d770322"," ","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","140,067.686","$233.47","BAC(BAC)","0.0137357"
"0x343b88a035e4a34979ddb77f4f20f3edc25f7ba749351dd11520d5fb4a56d2f7","Success","ERC-20","Exit","11651022","2021-01-14 4:10:25","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","0xe8dc2788FC8d91B44582F60D9d6B64e207Dab384"," ","6,516.052822","$10.86","BAC(BAC)","0.01100077"
"0x8521b930811b23e9c0c07ddd559192c58b6881fad353e3d786f7d3752ea5e18c","Success","ERC-20","Withdraw","11651017","2021-01-14 4:09:12","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","0x396fb37dEee7A359Fba9a6965E9AF2385cc6Da8B"," ","13,017.433","$21.70","BAC(BAC)","0.00867175"
