"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0xadd63126b13487940749104a1169c4288b7d6ddb808740e18667b3f499e7116b","Success","ERC-20","Swap Tokens For Exact Tokens","11659278","2021-01-15 10:58:12","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xAF1890305fCff4bF485d09eFafE08bb07Fa2A74F"," ","4,000","$6.67","BAC(BAC)","0.00461911"
"0x2b08569b191a8f6145ef17cea8ba4d3d0aa6abbd643770a010e7fc114a320f18","Success","ERC-20","Transfer","11659271","2021-01-15 10:57:06","0x64DBEC9519080e465ED4f418D65Fc730CE8002B3"," ","0x0211f3cedbef3143223d3acf0e589747933e8527"," MEXC 2","1,305.790176","$2.18","BAC(BAC)","0.0024735"
"0xc0d339d5b620ab078ddb2eccb8800d095632730ff293e3eb18f931d795d0ae42","Success","ERC-20","Exit","11659265","2021-01-15 10:55:55","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","0x0aF9C7a2aC12b37c3316cB5619089f1CB33A3AFB"," ","26,380.897","$43.97","BAC(BAC)","0.00812995"
"0x49b28b5e88217b821a516c221187bb4af288d3f2ea0ddd42d0094550cc5d9d27","Success","ERC-20","Exit","11659244","2021-01-15 10:52:48","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","0x8D7A5FEDf55B68625b2e5953f8203B029cb9c44e"," ","82,368.163","$137.29","BAC(BAC)","0.00386376"
"0x25b2e714a9c7c830a1862a11c1dcdd9ba5064f91d3b11ee5ee3333b2150d5117","Success","ERC-20","Transfer","11659239","2021-01-15 10:51:55","0xa0E192203258c852005e2A8B46937423fCBAe965"," ","0x64DBEC9519080e465ED4f418D65Fc730CE8002B3"," ","1,305.790176","$2.18","BAC(BAC)","0.00138225"
"0x05d1859a36a4fb97645b4834ad5757b52e57831d569bfc02fed02d75d03c4392","Success","ERC-20","Add Liquidity","11659232","2021-01-15 10:51:07","0x63c28a5caec10f876c046daca84301ab37e564b7","yxoxy.wantsome.eth","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","1,107.548246","$1.85","BAC(BAC)","0.00798423"
"0x6d128b4a8bfa4b048b61fc7a98b91ec661b42eca7519e1ee54cd03d15fed64b2","Success","ERC-20","Swap Exact Tokens For Tokens","11659213","2021-01-15 10:48:38","0x1C59F234acE21c1a5E640b1D645a04922C070075"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","24,375","$40.63","BAC(BAC)","0.00782266"
"0x2752f77429491e8234595e19531756f224c5d4d9582a3ab29a4653f0f510e15d","Success","ERC-20","Delegate","11659190","2021-01-15 10:43:27","0xe088fb588d2c06b4cedce88d97c18e577e0e3dea","Uniswap V2: BAC-Mars","0x860bd2dba9cd475a61e6d1b45e16c365f6d78f66"," MEV Bot: 0x860...F66","4,494.554853","$7.49","BAC(BAC)","0.03891105"
"0x2752f77429491e8234595e19531756f224c5d4d9582a3ab29a4653f0f510e15d","Success","ERC-20","Delegate","11659190","2021-01-15 10:43:27","0x860bd2dba9cd475a61e6d1b45e16c365f6d78f66","MEV Bot: 0x860...F66","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","4,494.554853","$7.49","BAC(BAC)","0.03891105"
"0x800bb7076b3c13dbc1e5648420f08b4fa03d1892fddf75a71790aeee06dace26","Success","ERC-20","Exit","11659180","2021-01-15 10:40:26","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","0x1C59F234acE21c1a5E640b1D645a04922C070075"," ","48,754.974","$81.27","BAC(BAC)","0.00633119"
