"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0x4ce154f46476e4c685978e34fa7978d1b990d4cba9bd2450a887b21220ee6c72","Success","ERC-20","Add Liquidity","11628355","2021-01-10 17:05:33","0x30B5f3A60972a7Fc23A46311584EDCf2fF183f38"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","25,073.931662","$41.81","BAC(BAC)","0.01222776"
"0xba708b2fcbc2eb97cdb7e5f100ad34ff4e1e8417f753191a7f6ec95a29c1b222","Success","ERC-20","Swap Tokens For Exact Tokens","11628327","2021-01-10 16:58:28","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xcC0aF851bdF853bFB0c7B1B99ab0bCB0019d8eAb"," ","65","$0.1084","BAC(BAC)","0.0078272"
"0xeb517be5c2d69680c163e49645e36064c33b6e556d8adf670536f1082b16972e","Success","ERC-20","Swap Exact Tokens For Tokens","11628321","2021-01-10 16:56:51","0x3d766ce34Ee4fe3bEF1EF6A68E72cc99aDD475d9"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","2,090.366301","$3.49","BAC(BAC)","0.01668883"
"0x3135cc77d85204abfbe108bb58bd25e62a2378af3f58eaf5102ac8f5b3731556","Success","ERC-20","Swap Exact Tokens For Tokens","11628297","2021-01-10 16:50:30","0x05272a105C6B9E8D8b991Efc5708d9Ae4F2a6e86"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","10,000","$16.67","BAC(BAC)","0.00787347"
"0x1af4595d1d6b3fdd726561fb65a45a38ca2c8e12fde933526b11e727ff1f2737","Success","ERC-20","Harvest","11628254","2021-01-10 16:41:35","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x7a09f0da45A959D498c6c581D3b88bED123a6949"," ","5,944.757834","$9.91","BAC(BAC)","0.04193121"
"0x1af4595d1d6b3fdd726561fb65a45a38ca2c8e12fde933526b11e727ff1f2737","Success","ERC-20","Harvest","11628254","2021-01-10 16:41:35","0x7a09f0da45A959D498c6c581D3b88bED123a6949"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","5,944.757834","$9.91","BAC(BAC)","0.04193121"
"0x0d343106f146cf41dc8d5b83e18614d20e391cce1b7eaf12f76158dd8df8c405","Success","ERC-20","Zap In","11628200","2021-01-10 16:27:02","0xF2FDB6EefB5EDe5cfa25C82Ad81507e841659CB7"," ","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0"," Zapper: Uniswap V2 Zap In v3.0.1","1,604.045","$2.67","BAC(BAC)","0.02473717"
"0x0d343106f146cf41dc8d5b83e18614d20e391cce1b7eaf12f76158dd8df8c405","Success","ERC-20","Zap In","11628200","2021-01-10 16:27:02","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","803.220969","$1.34","BAC(BAC)","0.02473717"
"0x0d343106f146cf41dc8d5b83e18614d20e391cce1b7eaf12f76158dd8df8c405","Success","ERC-20","Zap In","11628200","2021-01-10 16:27:02","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","800.82403","$1.34","BAC(BAC)","0.02473717"
"0x0d343106f146cf41dc8d5b83e18614d20e391cce1b7eaf12f76158dd8df8c405","Success","ERC-20","Zap In","11628200","2021-01-10 16:27:02","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xF2FDB6EefB5EDe5cfa25C82Ad81507e841659CB7"," ","0","$0.00","BAC(BAC)","0.02473717"
"0x5fe67560bb5cbab840ced08d6dae95c0e47c49eec702c899c265d6a5ed1f3387","Success","ERC-20","Swap Exact Tokens For Tokens","11628188","2021-01-10 16:24:44","0xCfB0EF7e256D1243dd5ffcC673A514E59Dc1ae9E"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","12,135.721001","$20.23","BAC(BAC)","0.00575436"
"0xc121c1b45de80dde4d1f10e6dcb9489cc177ba9626bbf7433cb9162300b5169d","Success","ERC-20","Swap Exact Tokens For Tokens","11628181","2021-01-10 16:23:57","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xF2FDB6EefB5EDe5cfa25C82Ad81507e841659CB7"," ","1,604.045048","$2.67","BAC(BAC)","0.01341568"
"0xd9bc7466cf4fb7df2c80e4c4bd233d236490c17580e0b5e52baf998d20cbe2c6","Success","ERC-20","Add Liquidity","11628180","2021-01-10 16:23:08","0xBa315a3c361a8b256A7c671A8685b72EAf93f747"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","97,936.097692","$163.29","BAC(BAC)","0.01236903"
"0x734ab4db6126ae49ef36f7584b2cb17a4995027c73041b70cd2a12bc2a21f0c4","Success","ERC-20","Add Liquidity","11628172","2021-01-10 16:21:50","0x78A97188707a808044f0d3193af9b71254781CF8"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","40.838522","$0.0681","BAC(BAC)","0.01078155"
"0x24c507604e52b31590a50d424190bb936264452ce323a8894e9df2782b6b946b","Success","ERC-20","Zap In","11628167","2021-01-10 16:20:31","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0"," Zapper: Uniswap V2 Zap In v3.0.1","3,001.886292","$5.01","BAC(BAC)","0.02598347"
"0x24c507604e52b31590a50d424190bb936264452ce323a8894e9df2782b6b946b","Success","ERC-20","Zap In","11628167","2021-01-10 16:20:31","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","1,503.17558","$2.51","BAC(BAC)","0.02598347"
"0x24c507604e52b31590a50d424190bb936264452ce323a8894e9df2782b6b946b","Success","ERC-20","Zap In","11628167","2021-01-10 16:20:31","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","1,498.710712","$2.50","BAC(BAC)","0.02598347"
"0x3efbb47a0138cc635b5bc4a1228b42e7444c05cd71df17a15fe6889000a9d6be","Success","ERC-20","Add Liquidity","11628163","2021-01-10 16:19:48","0xc1AdaF309fC6df3547a083b189ABB68F8FC76a90"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","41,380.406367","$69.00","BAC(BAC)","0.01006782"
"0x5f9a3dc06f3942b0b8bd85faa9c2e8eff2465f4b722b888f0b371032495a07b8","Error in Internal Transaction","ERC-20","Sell To Uniswap","11628125","2021-01-10 16:08:59","0x11226a039572791de8df7b9e82224b6734afdead","Uniswap V2: BAC 3","0x78A97188707a808044f0d3193af9b71254781CF8"," ","42.694562","$0.0712","BAC(BAC)","0.01148417"
