"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0x41ee2c02d9ffe5e940227a4619042f8d9309452b845f7ad99e1fa147e2cf235f","Success","ERC-20","Swap Exact Tokens For Tokens","11612966","2021-01-08 8:29:41","0x8042d9d476cfD2CC1BcdB4326D5cA3F30a994379"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","7,168.026841","$11.95","BAC(BAC)","0.00757752"
"0x0480e792572b1e530e02af99eeff73c75ab5b9420dcfc983e1a32f357be6c641","Success","ERC-20","Swap Exact Tokens For Tokens","11612965","2021-01-08 8:29:26","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xaa5fe68c0284a3ab040fa439b66dc952b20ca47e","nadiasama.eth","10,196.50881","$17.00","BAC(BAC)","0.00942854"
"0xbe726624b354fa7c166023778ba23449d28b10220b9eb39738e1fd0097519405","Success","ERC-20","Add Liquidity","11612955","2021-01-08 8:27:23","0xB8638e0Fb202FEF4A5A32Cf7648e25FB940E1491"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","134,324.14","$223.96","BAC(BAC)","0.01133352"
"0xda9d841209465d50632c5200ee8b1d1984d97067be1e1727f353df05454f4c76","Success","ERC-20","Claim Reward","11612953","2021-01-08 8:27:07","0x4b182469337d46e6603ed7e26ba60c56930a342c","Basis Cash: Boardroom","0x4b4c0d8791B12d0CFDA6B4246b0036a68C977b59"," ","128.634963","$0.2145","BAC(BAC)","0.00477767"
"0xdbbb4a3c5da3453d9b21caa25f7ae422db9c930815b7b7d103dc795a8954edf9","Success","ERC-20","Swap Exact Tokens For Tokens","11612952","2021-01-08 8:26:57","0x39979745B166572c25b4c7e4e0939c9298EFE79D"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","55,945.844932","$93.28","BAC(BAC)","0.01218158"
"0xa434cd165a9920cbe249763af57888e84fb5aecc424179c0288ad90ec41fde07","Success","ERC-20","Remove Liquidity With Permit","11612948","2021-01-08 8:26:16","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x39979745B166572c25b4c7e4e0939c9298EFE79D"," ","53,740.355764","$89.60","BAC(BAC)","0.016984"
"0xe71453ecc5c7844e3c281278b0636957f2f719b82660eeb83c80e7aec29b15e2","Success","ERC-20","Swap Tokens For Exact Tokens","11612943","2021-01-08 8:25:48","0x8042d9d476cfD2CC1BcdB4326D5cA3F30a994379"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","4,050.814896","$6.75","BAC(BAC)","0.02263974"
"0x26f67033531434797102f2b404e80b07bdc4baa72f1517db147002e7a30af330","Success","ERC-20","Zap In","11612938","2021-01-08 8:24:01","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x22f9dcf4647084d6c31b2765f6910cd85c178c18"," 0x: Exchange Proxy Flash Wallet","61,471.390674","$102.49","BAC(BAC)","0.08499594"
"0x26f67033531434797102f2b404e80b07bdc4baa72f1517db147002e7a30af330","Success","ERC-20","Zap In","11612938","2021-01-08 8:24:01","0x22f9dcf4647084d6c31b2765f6910cd85c178c18","0x: Exchange Proxy Flash Wallet","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0"," Zapper: Uniswap V2 Zap In v3.0.1","61,471.390674","$102.49","BAC(BAC)","0.08499594"
"0x26f67033531434797102f2b404e80b07bdc4baa72f1517db147002e7a30af330","Success","ERC-20","Zap In","11612938","2021-01-08 8:24:01","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","30,775.938508","$51.31","BAC(BAC)","0.08499594"
