"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0x95f5897fa82bb2167762e8e00ab7f3c8821dcec3f3bc3cf3f2150ea4a2662c69","Success","ERC-20","Swap Exact Tokens For Tokens","11614068","2021-01-08 12:22:04","0xb4D13A7ac37d210B9A164024D53b451c30f345fC"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","110,290.940631","$183.89","BAC(BAC)","0.01141424"
"0x69c3c2e8923a473419765ec39a89fd1f626beed257c625cb044c6d33ab8bc6c9","Success","ERC-20","Remove Liquidity With Permit","11614063","2021-01-08 12:19:58","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xb4D13A7ac37d210B9A164024D53b451c30f345fC"," ","110,290.940631","$183.89","BAC(BAC)","0.01979005"
"0x7b01df9775f5d6e22e5c2a6d5808261a96c0622cf898c1f98cabc6bb335134ea","Success","ERC-20","Swap Exact Tokens For Tokens","11614058","2021-01-08 12:19:27","0xAf32148BbC6F9FEa991eA00eecB92FB00Aa8405B"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","41,602.768719","$69.37","BAC(BAC)","0.00883644"
"0x01e5d3fcb70b3d62ac6ce24eafd7ca379247e6e3fa0bd8945e73e80863a09e46","Success","ERC-20","Remove Liquidity With Permit","11614055","2021-01-08 12:18:16","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xAf32148BbC6F9FEa991eA00eecB92FB00Aa8405B"," ","41,602.768719","$69.37","BAC(BAC)","0.00900781"
"0x16b426991fadd2b43da813c6832c5529338c4713cdb69940d7b28fedff9d222f","Success","ERC-20","Exit","11614054","2021-01-08 12:18:10","0x4b182469337d46e6603ed7e26ba60c56930a342c","Basis Cash: Boardroom","0xa34cB768E8b9f035021ab01fA01906b2aEc35C1a"," ","74.538697","$0.1243","BAC(BAC)","0.0086877"
"0xaa00de2afdcf4fa07fe110ed754568b2cb97605ece68f3cdea246a8a7ba94c57","Success","ERC-20","Zap In","11614048","2021-01-08 12:17:15","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0"," Zapper: Uniswap V2 Zap In v3.0.1","1,558.607086","$2.60","BAC(BAC)","0.059796"
"0xaa00de2afdcf4fa07fe110ed754568b2cb97605ece68f3cdea246a8a7ba94c57","Success","ERC-20","Zap In","11614048","2021-01-08 12:17:15","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","780.470421","$1.30","BAC(BAC)","0.059796"
"0xaa00de2afdcf4fa07fe110ed754568b2cb97605ece68f3cdea246a8a7ba94c57","Success","ERC-20","Zap In","11614048","2021-01-08 12:17:15","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","778.136665","$1.30","BAC(BAC)","0.059796"
"0xaa00de2afdcf4fa07fe110ed754568b2cb97605ece68f3cdea246a8a7ba94c57","Success","ERC-20","Zap In","11614048","2021-01-08 12:17:15","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0x5c4d8cee7de74e31ce69e76276d862180545c307","manymoneymanny.eth","0","$0.00","BAC(BAC)","0.059796"
"0x74781153887b54fd22dcf261eb8555fb5e9405fbf6048e373a93e8b7300b7d34","Success","ERC-20","Remove Liquidity With Permit","11614039","2021-01-08 12:14:55","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x61Abd70249ab1626C4500B4CD2156D1f1A0406fA"," ","15,013.677703","$25.03","BAC(BAC)","0.0090089"
"0xd63af2ce0135f522370381f2b043bde10b62534474ab9c1e7f25efa2923f77fc","Error in Internal Transaction","ERC-20","Buy Bonds","11614038","2021-01-08 12:14:49","0x7c1fF689fc0700daA84B584E7913c2BC01eeec07"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","200,000","$333.47","BAC(BAC)","0.00891475"
"0x369cf826e295528a0ba0a9d887f94767329ba2b144bb962859db86a5a344d945","Success","ERC-20","Swap Exact Tokens For Tokens","11614023","2021-01-08 12:12:06","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xDBa40491818C629297815aB005c112DdC07ad75E"," ","312.767478","$0.5215","BAC(BAC)","0.0067594"
"0x7b90af5a8b08d6c4c4637d33ae02372115ae7875f5951e8e71f7ee4b030ddb1c","Success","ERC-20","Swap Exact Tokens For Tokens","11614021","2021-01-08 12:11:53","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xA8310309f8C263Ec1D49EdF78e866215D2e6Ff9B"," ","3,466.058355","$5.78","BAC(BAC)","0.00541939"
"0x4e0b6fa3681485375f30cdc45452537b22f4e41e2e99fcf440d71f78c2834f33","Success","ERC-20","Remove Liquidity With Permit","11614014","2021-01-08 12:10:33","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xA8310309f8C263Ec1D49EdF78e866215D2e6Ff9B"," ","3,476.592975","$5.80","BAC(BAC)","0.00902888"
"0x5d77d9681f31bf6c355c3311f91cd2d46a01cdbc5e9889f570a4b21943958e18","Success","ERC-20","Claim Reward","11614001","2021-01-08 12:07:58","0x4b182469337d46e6603ed7e26ba60c56930a342c","Basis Cash: Boardroom","0x5D2b6f4C00A05C6B866aB78381F59064cD3a6b8D"," ","48.741213","$0.0813","BAC(BAC)","0.00771675"
"0x9192e11cd6fe28727271f07c681616be40d3087fd21d10918798ead06bcd98e8","Error in Internal Transaction","ERC-20","Buy Bonds","11613958","2021-01-08 11:59:23","0x26aAf2D294D68f6b958E1bAF45278c087ddae4c4"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","95.911","$0.1599","BAC(BAC)","0.00735883"
"0x34d84efc33a437f48d6975c7918b2cbbe954cc26a732fa6c99fe174a2418c1af","Success","ERC-20","Swap Exact Tokens For ETH","11613957","2021-01-08 11:59:11","0x97f3e6408f9679830cbf93b57b30693be566939f","jerry0202.eth","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","218.763271","$0.3648","BAC(BAC)","0.01771921"
