"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0xce86591b778a5b5a1b2bce24b87c515ab8aa5ed0998e8c588fea197079488a83","Success","ERC-20","Swap Exact Tokens For Tokens","11651408","2021-01-14 5:38:11","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x7CFf918C6d506557D06fb307667FCA863f07f262"," ","81,071.126808","$135.13","BAC(BAC)","0.0088634"
"0x9251744866f96df6139849ac172689cb5ac610f49a7392a32a09808ca21b56b4","Success","ERC-20","Swap","11651408","2021-01-14 5:38:11","0x1634505Ed8C10942d363fd1f1620dA475e1AF725"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","5,573.55","$9.29","BAC(BAC)","0.01663134"
"0xaa40f5afe19ef77462d3c02f2c84852a2a00d2b81e6d21cd937a85c405959f01","Success","ERC-20","Stake","11651406","2021-01-14 5:37:52","0x988136bc3201ce5f8c9b8c1501c0664f96dd0a3c","anonymous.umbra.eth","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","23,706.488","$39.51","BAC(BAC)","0.00890395"
"0xaedb85bcbad5f3a2d86acd718d52f543f012099f14e21c5b90bdbd9eec218456","Success","ERC-20","Withdraw","11651406","2021-01-14 5:37:52","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","0xA77a7E15Daea073e7Ba9cfee37b6EA7a247AF6B7"," ","3,777.931","$6.30","BAC(BAC)","0.00539114"
"0xf6947df30d2474f9a1e8f5b5cc76ef085eda0c64d87d8237bc6ea0ac40206af3","Success","ERC-20","Swap Exact Tokens For Tokens","11651406","2021-01-14 5:37:52","0xb43923634fF5556E8188886b24EDB8f17204B25c"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","25,000","$41.67","BAC(BAC)","0.00677007"
"0x66dbd8f14ba58e94ff4da9dd393a767717beeb3a7cdc12d7054302f31cb8c6ed","Success","ERC-20","Swap Exact Tokens For Tokens","11651405","2021-01-14 5:37:50","0x07Ebb7978e5F752d1aF50133D677B4Ae84474d01"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","68,888.8","$114.82","BAC(BAC)","0.00975867"
"0xe7f15e62266f84e0a6f433c32b4cb481f3dc5757efc83838f5c0e94aebc4c284","Success","ERC-20","Swap Exact Tokens For Tokens","11651405","2021-01-14 5:37:50","0x8C0Eacd366a5085a8bbee1B6C18E216A8c7240b3"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","78.859122","$0.1314","BAC(BAC)","0.00561982"
"0x1c4f1fbb766081bfc8f98285ea158d633c17439c736937cf62c15020f89b0bc4","Success","ERC-20","Remove Liquidity","11651405","2021-01-14 5:37:50","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xA0e04247d39eBc07f38ACca38Dc10E14fa8d6C98"," ","24,076.965837","$40.13","BAC(BAC)","0.00848133"
"0x27702cfab7daaec24848c689082dc2ab373d137836164046cae4e402160125b9","Success","ERC-20","Withdraw","11651404","2021-01-14 5:37:32","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","0x1634505Ed8C10942d363fd1f1620dA475e1AF725"," ","5,680.656","$9.47","BAC(BAC)","0.00638016"
"0xc2787adf8ea88d923e62e093afb4d195c47096e27c9e3c359de712743d8fdd9c","Success","ERC-20","Remove Liquidity With Permit","11651404","2021-01-14 5:37:32","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x8042d9d476cfD2CC1BcdB4326D5cA3F30a994379"," ","2,319.316873","$3.87","BAC(BAC)","0.01092202"
"0x4d6b6b0a0f5192129bd728d836f4dc554a77d2b82db3972bfeadd11a3fab2549","Success","ERC-20","Withdraw","11651402","2021-01-14 5:36:40","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","0x07Ebb7978e5F752d1aF50133D677B4Ae84474d01"," ","68,888.8","$114.82","BAC(BAC)","0.00719813"
"0xb4eceb832fdd746df6b28526d87445e23cab5cad24bdd7c100b77450eafd5d57","Success","ERC-20","Swap Exact Tokens For Tokens","11651401","2021-01-14 5:36:27","0x432dcbda06e8b296ca29705572d7cb6315ed8bed","0xnigiri.eth","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","2,650.000978","$4.42","BAC(BAC)","0.00719205"
