"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0x41b91302a496a53a008b097a20d6edca83ce1052c3d9029255aa5a7e48c9588f","Error in Internal Transaction","ERC-20","Buy Bonds","11620050","2021-01-09 10:29:55","0x47BB55752db81389b684E8660Ca9712470e3d843"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","1,388.239","$2.31","BAC(BAC)","0.01075521"
"0x322dc50086874f446e1230236efaa7e70230e5528991af94333866ad54e70f09","Success","ERC-20","Discounted Swap","11620049","2021-01-09 10:29:53","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71"," 1inch: Router 2","7,217.554777","$12.03","BAC(BAC)","0.0222731"
"0x322dc50086874f446e1230236efaa7e70230e5528991af94333866ad54e70f09","Success","ERC-20","Discounted Swap","11620049","2021-01-09 10:29:53","0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71","1inch: Router 2","0x7269CaD927f2D98aBfD06b0Eb1dA318525c6C304"," ","7,217.554777","$12.03","BAC(BAC)","0.0222731"
"0x7517c39fbf9f38170d33a10e505ea139e82d473c03b065b1e1683b185fbc96b4","Error in Internal Transaction","ERC-20","Buy Bonds","11620048","2021-01-09 10:29:52","0x4839460F05b2a8fC1b615e0523EbC46eFba75420"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","714.304","$1.19","BAC(BAC)","0.00820723"
"0xb4ec16d31ccde3cc0c607ed04f4a15a22d26ee450f65536469968ce8fee129b1","Success","ERC-20","Swap Exact ETH For Tokens","11620046","2021-01-09 10:29:14","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x1b2DFE7a543E32DB849A1B6d0f7a79C1f4A4e03A"," ","6,736.645414","$11.23","BAC(BAC)","0.01551599"
"0x51d554eef901cecae5294b5578d647ecef1c30c744dc7170b61e6ec983740612","Success","ERC-20","Add Liquidity","11620045","2021-01-09 10:29:09","0x03FcfFc8642Cf17a305393142421E8bDe5aEee68"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","13,835.339652","$23.07","BAC(BAC)","0.00908044"
"0xfb47a6343744a7e45e1a25fda3d76fd245e2e000fee6aed8539a7e2aab7e524a","Success","ERC-20","Swap Exact Tokens For Tokens","11620044","2021-01-09 10:28:45","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xe91528C753998ea51112C56466aBae986546e7E6"," ","100,568.841801","$167.68","BAC(BAC)","0.0207268"
"0x056b6e7db7d4bf7d5a88c4c2efebd035adad79c6a68254e261ef0ad52f72c3d1","Success","ERC-20","Swap Exact Tokens For Tokens","11620042","2021-01-09 10:28:21","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xd872b7d4889Ab1c7de5a17a7877cA641AD2c3F72"," ","8,322.431065","$13.88","BAC(BAC)","0.0080892"
"0xf98b0d9f519d4a4e30081f2fc86246229f71457d1570dc504ae587991b91d582","Success","ERC-20","Swap Exact Tokens For Tokens","11620038","2021-01-09 10:27:35","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x6bE73A1A23ec4E9056bD14F8856aF995e6eBecC3"," ","12,767.243471","$21.29","BAC(BAC)","0.00699799"
"0xaa5b54fed0d1ca9aa72a546335e54d3458f74e0be29026fa426712a1aaa0d705","Success","ERC-20","Swap Exact Tokens For Tokens","11620037","2021-01-09 10:27:25","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x4839460F05b2a8fC1b615e0523EbC46eFba75420"," ","714.304869","$1.19","BAC(BAC)","0.0062166"
"0xa829b474299ba90e6a22539e1bc13a48fb9a4554844e5cc132f0faa913b13672","Success","ERC-20","Swap Exact Tokens For Tokens","11620034","2021-01-09 10:26:54","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x47BB55752db81389b684E8660Ca9712470e3d843"," ","1,388.239879","$2.31","BAC(BAC)","0.00806384"
"0x019de51f35c68096b6976a2e554ebd4a1dc6198e5421d08fb5705945f027bb29","Error in Internal Transaction","ERC-20","Buy Bonds","11620032","2021-01-09 10:26:07","0x1E8c97B073C4F1099ef1903D4FA9b23f5dE3A294"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","6,894.672","$11.50","BAC(BAC)","0.01160431"
"0x78041b3c84465161a074480ac36a8880a1ce9cab2189a387805729b08cec64df","Success","ERC-20","Swap Exact Tokens For Tokens","11620023","2021-01-09 10:23:53","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x1E8c97B073C4F1099ef1903D4FA9b23f5dE3A294"," ","6,894.672198","$11.50","BAC(BAC)","0.01759846"
"0x3c57ad8c343ef38af5e7d8de0787e7d1f64b1886c524fbf370ac567fc1400cbf","Success","ERC-20","Swap Exact ETH For Tokens","11620022","2021-01-09 10:23:48","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x975d80080ab4da226AFCdC4cDdf9508541Ae6E28"," ","1,677.126611","$2.80","BAC(BAC)","0.0113085"
"0x5470368b8dc9f3a2b712ebb7e87982e6aff0e3a2be90fc652900ec6ea8cb246b","Success","ERC-20","Remove Liquidity With Permit","11620019","2021-01-09 10:23:02","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xa9405868d1AA97fE1fA5E0D86E648d094E2a888d"," ","1,089,366.8653","$1,816.34","BAC(BAC)","0.00955346"
"0x0f521bab34330c6d69fbfb4bedbf6a873576d09a21d7c05be85081ff450d536e","Error in Internal Transaction","ERC-20","Buy Bonds","11620017","2021-01-09 10:22:03","0x19E14058474a32dC92Dfd26aCbdf9AA709ef12fC"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","1,678.86","$2.80","BAC(BAC)","0.01105146"
