"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0xd6a5f5ce8836adffc10d65d5e640e153168d6a9aa2f9ebe0008cb6c26430a999","Success","ERC-20","Swap Exact Tokens For Tokens","11619063","2021-01-09 6:45:35","0x1f58Cd74f80681B4DD841078963D72a8DF84c43A"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","11,435.373814","$19.07","BAC(BAC)","0.00527549"
"0xad5234acecc192db57dac527b70b894356f790feba37d9ece608fb80f6aac655","Error in Internal Transaction","ERC-20","Buy Bonds","11619058","2021-01-09 6:44:27","0x79a98A9F41051e119cad1b9fFeFe523cd0Be65f0"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","12,796.195712","$21.34","BAC(BAC)","0.00911088"
"0x8e831d93d438ecfddfeda34a33886da38a7c105e62c47787d56f80309c08bcf1","Success","ERC-20","Zap In","11619051","2021-01-09 6:42:13","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0"," Zapper: Uniswap V2 Zap In v3.0.1","893.268972","$1.49","BAC(BAC)","0.02199059"
"0x8e831d93d438ecfddfeda34a33886da38a7c105e62c47787d56f80309c08bcf1","Success","ERC-20","Zap In","11619051","2021-01-09 6:42:13","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","447.303384","$0.7458","BAC(BAC)","0.02199059"
"0x8e831d93d438ecfddfeda34a33886da38a7c105e62c47787d56f80309c08bcf1","Success","ERC-20","Zap In","11619051","2021-01-09 6:42:13","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","445.965587","$0.7436","BAC(BAC)","0.02199059"
"0xdc32229f8e5740775b1df3fc8c607c46e7dc657720d4523253c8536e29ee57e5","Success","ERC-20","Remove Liquidity With Permit","11619048","2021-01-09 6:41:50","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x79a98A9F41051e119cad1b9fFeFe523cd0Be65f0"," ","12,796.195712","$21.34","BAC(BAC)","0.00959782"
"0x6edc94f8ed6cfa52ba6d27d4e1d4cc970567ff7c082cec5be2e0573bef02d1ab","Success","ERC-20","Swap Exact Tokens For Tokens","11619041","2021-01-09 6:40:31","0x3958e91A5dF84c0c5A2d4f54234681D66b5bf478"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","12,277.087216","$20.47","BAC(BAC)","0.00546732"
"0x8c434c33b38bad9cf5aad362641bd2bc6ce470e3526b9348726b830dfcab0433","Success","ERC-20","Swap Exact Tokens For Tokens","11619041","2021-01-09 6:40:31","0x213465018Fc3A146706B7E2D5c4E8398F236aAcA"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","6,119.859481","$10.20","BAC(BAC)","0.01195107"
"0x3f3f1297876d1c6c36b202ff27a580a7940787fdc0108f4ea4866646180f1c34","Success","ERC-20","Swap Exact Tokens For ETH","11619038","2021-01-09 6:39:35","0xd4f8a1bbee54c1533cf0ef8c6f877ada4dadca1b","jinwd.eth","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","22,250.522897","$37.10","BAC(BAC)","0.01645532"
"0xaa4d84695fa01248f36589b42f5af4356c59d56b11c077f8cffa257a6e23ad6b","Error in Internal Transaction","ERC-20","Buy Bonds","11619037","2021-01-09 6:39:26","0x59beB8aaeACB726309AEE36234E01Aaf8d534D2d"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","724.062","$1.21","BAC(BAC)","0.0072167"
