"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0x686122c71a1ed42546f62918b3b1d879d0dd32b8921d27dbb041fc009a7cd28c","Success","ERC-20","Swap","11617952","2021-01-09 2:39:58","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71"," 1inch: Router 2","23,286.127197","$38.83","BAC(BAC)","0.03401332"
"0xa13e3530b80c7051845c614c7052402ac13a625713c14c3f8d34c4962ccbbcfc","Success","ERC-20","Swap Tokens For Exact Tokens","11617950","2021-01-09 2:38:46","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x01a79464b931f7E6927ac946E4D4CB5C56e94549"," ","60,000","$100.04","BAC(BAC)","0.01399692"
"0x68e2990e84af7d514c3bc81b3aa3400293be4755fb4b238f5c3a5d74d5d6a77a","Error in Internal Transaction","ERC-20","Buy Bonds","11617949","2021-01-09 2:38:42","0xCBd49AdC5ce7C64AD036c95A37Fa20Ec2397b1E5"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","3,409.215","$5.68","BAC(BAC)","0.01314966"
"0x833fb5439e5978568ae6453bfe107cd7375a2c5b7945f54f58f7c31cf4ad10c8","Success","ERC-20","Swap Exact Tokens For Tokens","11617948","2021-01-09 2:38:37","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xF9A0106251467FFF1Ff03e8609aa74fc55A2a45E"," ","86,662.330769","$144.50","BAC(BAC)","0.00872991"
"0x34d68f80d04ac92ddf8660f4f0aecbc9f9bd3b09c31ff89678be9715a5ae25aa","Success","ERC-20","Swap","11617948","2021-01-09 2:38:37","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71"," 1inch: Router 2","21,143.9642","$35.25","BAC(BAC)","0.01334279"
"0x34d68f80d04ac92ddf8660f4f0aecbc9f9bd3b09c31ff89678be9715a5ae25aa","Success","ERC-20","Swap","11617948","2021-01-09 2:38:37","0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71","1inch: Router 2","0xBd501571fCB726C7435c05CE5260E48Ec7CFA183"," ","21,143.9642","$35.25","BAC(BAC)","0.01334279"
"0x4eca6110356b71ccb91a6a279c142025def46f28b35ea2e1deed5877daae6195","Success","ERC-20","Remove Liquidity","11617947","2021-01-09 2:38:15","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xF6BE5b79F2c702506dfb6F304974D25571E4a6aa"," ","12,442.75514","$20.75","BAC(BAC)","0.012036"
"0xb0f7af9da31f2b309bc7da245dcf1447fac98086d91d2b3cbe4ed2ba92e49e09","Success","ERC-20","Remove Liquidity","11617945","2021-01-09 2:37:42","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x9eD06cAAb983eDD78579296174a4EcC087a52096"," ","326,110.989073","$543.74","BAC(BAC)","0.01478976"
"0x5fe254c8b1bacc6a23172818728c3b893143f898fd164578f1b0dfadef55d866","Success","ERC-20","Swap Exact Tokens For Tokens","11617942","2021-01-09 2:36:17","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xCBd49AdC5ce7C64AD036c95A37Fa20Ec2397b1E5"," ","3,409.215233","$5.68","BAC(BAC)","0.01974586"
"0x4a167bc05a1a281273149ec4c40e66917f4afbfbaf40a740e1b79ade074bfa53","Success","ERC-20","Swap Exact Tokens For Tokens","11617940","2021-01-09 2:35:09","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xBBb8c4b1a246A1455630397bc7821306A48F56a3"," ","24,645.537844","$41.09","BAC(BAC)","0.01001564"
"0x323f7feee0ae1a9dc8254498309e7b29075be3fcfafd720652aae15ea815a06b","Success","ERC-20","Swap Tokens For Exact Tokens","11617940","2021-01-09 2:35:09","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x7d21D6f8e03746BeF7fB64710C1569505F76dC18"," ","50,000","$83.37","BAC(BAC)","0.00851898"
"0x6ed5f5028bb8ec30419ab5c157b868ef334b13b1419c4e5cd3143bf79b42ba72","Success","ERC-20","Swap Tokens For Exact Tokens","11617937","2021-01-09 2:34:47","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xc79df89A1B0aaae239132affc869022554dfc645"," ","30,000","$50.02","BAC(BAC)","0.01150159"
"0xbeb1cdf8768ec3608a2031c0a9503259b045a4c89c894eb31281a5f93d7d38ce","Success","ERC-20","Swap Exact Tokens For Tokens","11617933","2021-01-09 2:34:10","0x837F276Bd81C5f322DFF4f4604022299133896AE"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","425.615437","$0.7096","BAC(BAC)","0.00978118"
"0x302804af69a36a457288b7b254dcbb33bee3924a0b90ec9e66e7efa72139ca12","Success","ERC-20","Remove Liquidity With Permit","11617932","2021-01-09 2:34:00","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x2F3fC9566c8C9306A476e803E8fE9C4ffa332756"," ","33,879.388124","$56.49","BAC(BAC)","0.01343951"
"0x0e2c548b68bca813f67f37f94c7a2e17142fe40b1e3e3b3af282f18d419f5e6a","Success","ERC-20","Swap Exact Tokens For Tokens","11617931","2021-01-09 2:33:51","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x289c23cd7cacafd4bfee6344ef376fa14f1bf42d","miguel.eth","58,119.658233","$96.91","BAC(BAC)","0.00833159"
"0x972d040ec02ca0d8f789b9b8f741a6c5a76c8768a45ef480dc9bc1fd8154628e","Success","ERC-20","Swap Exact Tokens For ETH","11617930","2021-01-09 2:33:43","0x34A9f3c9E6F1086CCceC941C410e0e1802EbeeA5"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","272.868935","$0.455","BAC(BAC)","0.02156384"
"0x0802d9ca7de6c353ffceba0ddaaa690ab107571ba3adcfc6cc05d35b4b789e4d","Success","ERC-20","Swap Tokens For Exact Tokens","11617927","2021-01-09 2:33:00","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x7d21D6f8e03746BeF7fB64710C1569505F76dC18"," ","50,000","$83.37","BAC(BAC)","0.01091285"
"0x9f9ec00bc148c246d996e217131f9a8f624c85dbe1d723d84caa30ea7898727f","Success","ERC-20","Swap Exact Tokens For Tokens","11617926","2021-01-09 2:32:54","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xA513022e3963DaED3fB83561ecfCf3Dd591F83F8"," ","21,266.020524","$35.46","BAC(BAC)","0.02214302"
"0x833505f9da9755bf93410dcb0b110c273ec2205444418701f4b9e77d2f7a01e3","Success","ERC-20","Add Liquidity","11617925","2021-01-09 2:32:52","0x3D72CCE679FC4Eaa2e31842babf9ab01E1009331"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","4,184.52378","$6.98","BAC(BAC)","0.01058023"
"0x21701c5415a711b7bb8b52363af2372a66767a12a159e289082cd42cb45f5bc3","Success","ERC-20","Remove Liquidity","11617924","2021-01-09 2:32:43","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x837F276Bd81C5f322DFF4f4604022299133896AE"," ","425.615437","$0.7096","BAC(BAC)","0.01300112"
"0xb5dc7d404d47cc3f4b293590ab5c85c8023d4c688e26829f50b40d2a0cef694e","Error in Internal Transaction","ERC-20","Buy Bonds","11617922","2021-01-09 2:31:39","0x9099C634f209A807e153BD77e05C7cbE2B48D911"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","209.745","$0.3497","BAC(BAC)","0.01416979"
"0x1b8601c66c07664078053908b59aed4ec940e1d3b419a6d4d7f733e0af938234","Error in Internal Transaction","ERC-20","Buy Bonds","11617922","2021-01-09 2:31:39","0xBbb4262E4fefc05398787E23cCD5707C910e04f4"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","3,137.09","$5.23","BAC(BAC)","0.01556544"
"0x193f0261ca63aad54e5807fa271f262669fd4527b52ade3ef305123c543913e9","Error in Internal Transaction","ERC-20","Buy Bonds","11617919","2021-01-09 2:30:49","0x584313319d0bfead2a9d98a7154f5dcb5a62887f","yk20a.eth","0x0000000000000000000000000000000000000000","Null: 0x000...000","7,830.525","$13.06","BAC(BAC)","0.01698336"
