"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0x0cfc6187aea212eedd32d6918caa54772ae79a8e732e02e9f4fa5755f2e1a269","Success","ERC-20","Swap Exact Tokens For ETH","11666512","2021-01-16 13:28:54","0x3498c228B3aC354e11a41d3DaFD5d909786C4E5D"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","111.952377","$0.1866","BAC(BAC)","0.01536427"
"0xa74e2f6b10232962ba6462094cc6623d6d792acb4ddb2095bd5015bfb9b092de","Success","ERC-20","Exit","11666463","2021-01-16 13:16:03","0x4b182469337d46e6603ed7e26ba60c56930a342c","Basis Cash: Boardroom","0xb7ce42bf09ad09f696889eb5ea5341946d8fb22f","juliuan.eth","13.245512","$0.0221","BAC(BAC)","0.01042577"
"0x2e0ccdaf585ebfd89d44c637e496288f9b3dd398b3a08daa9fce72bb32cf4c85","Success","ERC-20","Swap Tokens For Exact Tokens","11666436","2021-01-16 13:08:38","0x3498c228B3aC354e11a41d3DaFD5d909786C4E5D"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","48,278.385254","$80.47","BAC(BAC)","0.01635081"
"0x9e168254f5129ebb05c330b09cace258ce48939ed6965c1b049aa519285a0c79","Success","ERC-20","Swap Exact Tokens For ETH","11666435","2021-01-16 13:08:28","0x0Ff0780b031c29557262149b44876560c34BA1AA"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","1,252.074752","$2.09","BAC(BAC)","0.01089353"
"0x6c5132e15b0f8dcee3324efd66f1bd4a465a0d88ac7d81475719d83e2108ce1e","Success","ERC-20","Withdraw","11666419","2021-01-16 13:05:27","0x83dAc1C1A5832d2037Ed21D597141026f52D151F"," ","0x0Ff0780b031c29557262149b44876560c34BA1AA"," ","1,252.074","$2.09","BAC(BAC)","0.00695251"
"0xfc0282c1942c4d31ac20e1df87f3ccd711b493f8666c47e5f65926b3c501b5ff","Success","ERC-20","Zap In","11666406","2021-01-16 13:02:31","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0"," Zapper: Uniswap V2 Zap In v3.0.1","973.231809","$1.62","BAC(BAC)","0.01933419"
"0xfc0282c1942c4d31ac20e1df87f3ccd711b493f8666c47e5f65926b3c501b5ff","Success","ERC-20","Zap In","11666406","2021-01-16 13:02:31","0xd3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0","Zapper: Uniswap V2 Zap In v3.0.1","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","973.231809","$1.62","BAC(BAC)","0.01933419"
"0x6861ad4ff6527d3dda2b969e278d815be4811fee7eb62b706a8f1b74028029fb","Success","ERC-20","0xd13966a2","11666398","2021-01-16 13:00:45","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xe088fb588d2c06b4cedce88d97c18e577e0e3dea"," Uniswap V2: BAC-Mars","3,886.356433","$6.48","BAC(BAC)","0.03660179"
"0xc9940f4b008c034ca09668fccfc92a37b79f30c82129ecaf9bd34830d9184027","Success","ERC-20","Swap Exact Tokens For ETH","11666385","2021-01-16 12:57:52","0x6f8eeCf0057770275026e1b0B901eC0fc294A0b7"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","16,294.913224","$27.16","BAC(BAC)","0.01484151"
"0x0811970525b35b39b267434498e205b516b3e2562b45f6913a523d487586f5ca","Success","ERC-20","Stake","11666381","2021-01-16 12:56:54","0x0Ff0780b031c29557262149b44876560c34BA1AA"," ","0x83dAc1C1A5832d2037Ed21D597141026f52D151F"," ","1,252.074","$2.09","BAC(BAC)","0.01526907"
