"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0x6c0207c2807b428e0654cf1c73e5718c9330ad514cb3b3c0c4da2742c744b5ee","Success","ERC-20","Add Liquidity","11639536","2021-01-12 10:14:55","0x369f5238C82b4441E28318F96Fd16010B8269560"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","3,413.046446","$5.69","BAC(BAC)","0.01001246"
"0x8d28f4ed84efbe13587d9f3931bfee38b56bbe76ef0d386410d1ad1fee3a663f","Success","ERC-20","Swap Exact Tokens For Tokens","11639526","2021-01-12 10:11:49","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x369f5238C82b4441E28318F96Fd16010B8269560"," ","3,413.046446","$5.69","BAC(BAC)","0.01102849"
"0x559485a564f6fa6bdf3fbfeefd0bedebf9f6cfd51905aa694905e49c9fb52bb9","Success","ERC-20","Swap Exact Tokens For Tokens","11639516","2021-01-12 10:09:29","0x1789380B7395b1187E95654F805C049D1f0FC816"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","10,000","$16.67","BAC(BAC)","0.00630982"
"0x6a4edd6b43bda9c0d50280c1ae2f39e51b6e3dfb6aefb15fc6b73864cf180fe9","Success","ERC-20","Executor Swap Tokens","11639482","2021-01-12 10:03:39","0x4CAcAD7f3D66a24bD65B1bF897BD35A425e2caC6"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","3,819.771548","$6.37","BAC(BAC)","0.05327442"
"0x33174532cfb9bbb0bb3533df500aee3ecab259af29591ab237db7d9c7c15c16a","Success","ERC-20","Claim Reward","11639469","2021-01-12 9:59:54","0x4b182469337d46e6603ed7e26ba60c56930a342c","Basis Cash: Boardroom","0x749E1d15d3d461469BEc674575c2B07dd0dBEdeD"," ","59.565014","$0.0993","BAC(BAC)","0.00389735"
"0xf0ba44d35af0e2297700f200312604cb8a089a7893d079bf71c90cffbc7ac586","Success","ERC-20","Executor Swap Tokens","11639468","2021-01-12 9:59:42","0x4CAcAD7f3D66a24bD65B1bF897BD35A425e2caC6"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","4,244.190609","$7.08","BAC(BAC)","0.0504705"
"0x5f66544ce94844bef3520c563092ea0b3ff8fc1c8e6d83a61a7e572abc014621","Success","ERC-20","Swap Exact Tokens For Tokens","11639468","2021-01-12 9:59:42","0x70C829d622D178DEE1F713317D9a6161957e0672"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","961.385476","$1.60","BAC(BAC)","0.0079662"
"0x90d40098ddcdfce2dc6515ffa5d92b8537775ade9042e6c7b742f5e2d3e46eb1","Success","ERC-20","Add Liquidity","11639460","2021-01-12 9:57:40","0xf47DA2B2878Abb699d0aBc34eE9aC0c5FcE4FA2C"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","4,772.731399","$7.96","BAC(BAC)","0.00875853"
"0x5d42100dfd29afeac0219839b81fb5073e6ec91fee111c7a1caf77efd03b92a0","Success","ERC-20","Deposit","11639458","2021-01-12 9:57:35","0x859a8A9d54dCBC039C125Fc97c256108B24256b4"," ","0xfea2468C55E80aB9487f6E6189C79Ce31E1f9Ea7"," ","42,441.906094","$70.77","BAC(BAC)","0.01625885"
"0x5d42100dfd29afeac0219839b81fb5073e6ec91fee111c7a1caf77efd03b92a0","Success","ERC-20","Deposit","11639458","2021-01-12 9:57:35","0xfea2468C55E80aB9487f6E6189C79Ce31E1f9Ea7"," ","0x4CAcAD7f3D66a24bD65B1bF897BD35A425e2caC6"," ","42,441.906094","$70.77","BAC(BAC)","0.01625885"
"0x015ac6d4f10e80ebce5b185972c822499fe354040c32a08e65e85b3b19ff0285","Success","ERC-20","Swap Exact Tokens For Tokens","11639454","2021-01-12 9:56:46","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xf47DA2B2878Abb699d0aBc34eE9aC0c5FcE4FA2C"," ","545.709048","$0.9099","BAC(BAC)","0.00683667"
"0x2761303c0b94f02ab0c92c76d4d17fed953dd31ce53b4968fc05e50cd62e7375","Success","ERC-20","Swap Exact Tokens For ETH","11639452","2021-01-12 9:56:29","0x51d7a1c80ba54a7f25a2a1b35ef67a440661bafb","sushib.eth","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","15,248.979288","$25.43","BAC(BAC)","0.01170734"
"0xc8038a59bbecce1c7056e2a2c85432191d8a3568fe318f2625e101ef7c1478be","Success","ERC-20","Swap Exact Tokens For Tokens","11639446","2021-01-12 9:55:32","0x73e3794668fb0cc14e7c36fdee7e329d11ab1843","carolus.eth","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","67.699919","$0.1129","BAC(BAC)","0.00537006"
"0x18ddf87c1a29185a6431a860fb5222726379691353d91c431631f5604bbbbef9","Success","ERC-20","Swap Exact Tokens For Tokens","11639444","2021-01-12 9:55:06","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xf47DA2B2878Abb699d0aBc34eE9aC0c5FcE4FA2C"," ","4,227.02235","$7.05","BAC(BAC)","0.00801641"
"0x96cfbcf3dd0218162c3f7fe356abeeb0a57a570182f3088f1792c429c77dc009","Success","ERC-20","0x20aeb817","11639401","2021-01-12 9:44:30","0x7d9f9eaeb48e994eda2fa151b8581154cf0719f7","Sybil Delegate: hutian280","0xf4b00c937b4ec4bb5ac051c3c719036c668a31ec"," Secret Network: Bridge","7,610","$12.69","BAC(BAC)","0.00408086"
"0xfb591b94b83ae94dcdc33f9743f56d4b5d3b34adcfbd15e482dd177eede041b5","Success","ERC-20","Remove Liquidity With Permit","11639396","2021-01-12 9:43:24","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x51d7a1c80ba54a7f25a2a1b35ef67a440661bafb","sushib.eth","15,248.979288","$25.43","BAC(BAC)","0.00976122"
"0x6896a911c32b77895b8c547cd50431df4ddb290c19083de6c11c5cecb619122e","Success","ERC-20","Exit","11639396","2021-01-12 9:43:24","0x4b182469337d46e6603ed7e26ba60c56930a342c","Basis Cash: Boardroom","0x73e3794668fb0cc14e7c36fdee7e329d11ab1843","carolus.eth","67.699919","$0.1129","BAC(BAC)","0.00853227"
"0x5761a651b6370efa18df99deabe7f3f904d15752d84f2f725f1bfc0862b18798","Success","ERC-20","Add Liquidity","11639380","2021-01-12 9:40:24","0x51d7a1c80ba54a7f25a2a1b35ef67a440661bafb","sushib.eth","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","15,248.979288","$25.43","BAC(BAC)","0.00850251"
"0x2c96e0fbb87929a65edf282f8ba05156e91a9838f273f1f3ad3c278766f96e62","Success","ERC-20","Swap Exact ETH For Tokens","11639361","2021-01-12 9:36:23","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x7d9f9eaeb48e994eda2fa151b8581154cf0719f7","Sybil Delegate: hutian280","7,619.603101","$12.70","BAC(BAC)","0.01150624"
"0xc78f0b3310f977eb790daba4d83676f8cb468d7e2b3235f32066c5fe7b306f14","Success","ERC-20","Add Liquidity","11639361","2021-01-12 9:36:23","0x5047C5398009249Fa4ceBa72Ea706F82eea20649"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","535,153.400249","$892.28","BAC(BAC)","0.00761202"
"0x3e85419c1af9c677fe63e622480e01dc4bee74613d90e4db0e5d9433d22d1523","Success","ERC-20","Swap Exact ETH For Tokens","11639360","2021-01-12 9:36:05","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x51d7a1c80ba54a7f25a2a1b35ef67a440661bafb","sushib.eth","15,248.979288","$25.43","BAC(BAC)","0.01220359"
"0x83bcb25d9a66cb00c40d44788f845c9db19c3e31cfdb8fb360523281b013f834","Success","ERC-20","0x5e5f4462","11639355","2021-01-12 9:34:25","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xEcAda5EFb9AB8B520eFa8f00bBF3d42f49Be6Cec"," ","116,683.527871","$194.55","BAC(BAC)","0.00805223"
"0xd6f0ea523d4e233bf8217734ad1fb35a31bd574ea492a581af46ff8c6c54981a","Success","ERC-20","Swap Exact Tokens For Tokens","11639355","2021-01-12 9:34:25","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x5047C5398009249Fa4ceBa72Ea706F82eea20649"," ","535,658.522048","$893.12","BAC(BAC)","0.00671542"
"0x8ebc736795b75127e18e0461b8ac0781e08d41de0d7e12a77a11106cc1ff72ac","Success","ERC-20","0x5e5f4462","11639355","2021-01-12 9:34:25","0xEcAda5EFb9AB8B520eFa8f00bBF3d42f49Be6Cec"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","116,683.540129","$194.55","BAC(BAC)","0.0069993"
