"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0x884e6a4183f3611392fb6d39c2d97b342aa0b102c6322969a44f999e040657a5","Success","ERC-20","Deposit All","11660721","2021-01-15 16:10:49","0x0c124a0b302F06072DDc1FE1CE991578ecB248D6"," ","0xf8ce90c2710713552fb564869694b2505bfc0846"," Harvest.Finance: Deposit Helper","1","$0.00166681","BAC(BAC)","0.0586692"
"0x270e07d7a2db45d35298859546ca8233bca53ea9bc94cfd7d97452f4093d5d0d","Success","ERC-20","Swap ETH For Exact Tokens","11660686","2021-01-15 16:02:55","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x0c124a0b302F06072DDc1FE1CE991578ecB248D6"," ","1","$0.00166681","BAC(BAC)","0.06767488"
"0x61c3d095975e58f03eb77e2e4451954b1cdeb2e8e9c3d511514eef3ee6917c5d","Success","ERC-20","Add Liquidity","11660512","2021-01-15 15:29:06","0xac443228d2ced4f15de936010c41a619dcfc2d58","andrynord.eth","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","531.973707","$0.8867","BAC(BAC)","0.00682668"
"0x5027adaf2a9895c576d147ddf46b69fa2b40fe92443ab636edfeb5b615582d33","Success","ERC-20","Add Liquidity","11660497","2021-01-15 15:26:54","0x17ec067FC8680427fda280805fd01CEa46F2F9f8"," ","0xe088fb588d2c06b4cedce88d97c18e577e0e3dea"," Uniswap V2: BAC-Mars","729.973071","$1.22","BAC(BAC)","0.0072273"
"0xacde6758a454859382f9972d5d46623d9b0c37b648f5a8499a929bde4eab8d62","Success","ERC-20","Swap Exact Tokens For Tokens","11660468","2021-01-15 15:21:30","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xac443228d2ced4f15de936010c41a619dcfc2d58","andrynord.eth","530.133316","$0.8836","BAC(BAC)","0.01305183"
"0xb4f3a452f504a891d92fd71093677c9c36d9146078a7b5557d45fbae4a8abeaa","Success","ERC-20","Add Liquidity","11660403","2021-01-15 15:06:52","0xe312b093BEAFF1C2Eb6E889B81762802E6d5a74a"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","32,469.41913","$54.12","BAC(BAC)","0.01434056"
"0xdfdc46fdba447000edb785636cd01aabeae9eb345fee474397f2a1377788618e","Success","ERC-20","Swap Exact Tokens For Tokens","11660401","2021-01-15 15:05:47","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xe312b093BEAFF1C2Eb6E889B81762802E6d5a74a"," ","32,469.41913","$54.12","BAC(BAC)","0.01494486"
"0x220b9df865c3409278e41dc4b4ea83e965b44b4e0da45a5511b361aae5746c57","Success","ERC-20","Stake","11660389","2021-01-15 15:02:45","0x2c7a221E153a55ea60B52BB3930277De99419A3E"," ","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","23.654","$0.0394","BAC(BAC)","0.00723487"
"0x65a66ed9ccb82989583d147df27f1287e0aad0e6ac20f018b77f87fdeb006f8c","Success","ERC-20","Exit","11660389","2021-01-15 15:02:45","0x5Aaa551e35288059dF4c9291fa2B79f492356C88"," ","0x987fb317888cf344da7FC3836bcF62A9F6718858"," ","20,000","$33.34","BAC(BAC)","0.0041809"
"0xaea6221d23d56fc2191dd302b3f87dbb38aca1cb7089515a41647def81a6d623","Success","ERC-20","Confirm Transaction","11660359","2021-01-15 14:57:24","0xf4b00c937b4ec4bb5ac051c3c719036c668a31ec","Secret Network: Bridge","0x9d06d59677b412c48F5f8546b45b9Ea694A99698"," ","85.62426","$0.1427","BAC(BAC)","0.0136431"
"0xaea6221d23d56fc2191dd302b3f87dbb38aca1cb7089515a41647def81a6d623","Success","ERC-20","Confirm Transaction","11660359","2021-01-15 14:57:24","0xf4b00c937b4ec4bb5ac051c3c719036c668a31ec","Secret Network: Bridge","0xDaf3f7f611eFA83033155D23C3EbC5B52dDBAeBb"," ","5,000.375739","$8.33","BAC(BAC)","0.0136431"
"0xad9b3c285199ff721c07b62ac423ea60f194c7c94de94b01a7982a1be2a35fe9","Success","ERC-20","Transfer","11660293","2021-01-15 14:42:10","0x820f92c1b3ad8e962e6c6d9d7caf2a550aec46fb","Tip.cc","0x92cdc01e5ecb39b0f5f225a48e7d450c0f4b708f","cindysun.eth","994.602913","$1.66","BAC(BAC)","0.00389729"
"0xff082b51c760b49c5c47234ded5d830b0c56b3f5adaec7057639767fe6391fce","Success","ERC-20","Transfer","11660284","2021-01-15 14:40:20","0x274F3c32C90517975e29Dfc209a23f315c1e5Fc7"," ","0x52CD28389076f1A3F171b381f85e38FB084d0424"," ","27.77","$0.0463","BAC(BAC)","0.0054401"
"0x8577d1e6ca4d7326821e4009233c552c27b00ca051ef495d23e7ded7e1749afc","Success","ERC-20","Add Liquidity","11660266","2021-01-15 14:36:14","0x6d509C074DDD54830C7a12CFd55be9CDeBF9F0f2"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","23,093.456236","$38.49","BAC(BAC)","0.01326907"
"0x58c4a14312b3d234afb0773fb066837e7ca4b19f9242278c989633eeda82c9c6","Success","ERC-20","Stake","11660264","2021-01-15 14:35:32","0xfcfa4369eaa965ac4e36f1dd9fd2852c6542b0f7","9000001000009.eth","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","1,000","$1.67","BAC(BAC)","0.0092668"
"0x9c528a5280212314777d39a3f439caaf1e4627ddf477439682ff87fe0624f699","Success","ERC-20","Exit","11660256","2021-01-15 14:32:39","0x4330E43F5b1e7D3Ea7B0a177Af50C6B2489ca406"," ","0x0a7508DAC3881DA117FBdBDBDAf754EE13c63DDD"," ","2,755.915","$4.59","BAC(BAC)","0.0095937"
